model,MAE,MSE,RMSE,R2
Random Forest,1403.4704943672348,9560037.755920976,3091.931072310794,0.8541945414336733
Decision Tree,1537.327708459792,12746258.409913423,3570.1902484200227,0.8055997162447099
Linear Regression,1994.5649437677853,17365314.497984607,4167.17104256408,0.7351519200895449
